中国中共中央党校	销售部经理
青岛财贸学院	
辽宁鞍山钢铁学院	行政经理,销售
上海众合学校	法务主管
福建江夏学院	会计,会计助理,总经理秘书、人事专员,财务,JAVA开发,税务专员,审计助理
历城一职专	仓库操作工
呼和浩特市职业学院	雇员
邢台英捷职业学校	度假顾问
邳州市官湖高级中学	外贸单证员
中国农业科学院油料作物研究所	
BEIJING USA COLLEAGE	私人助理/调研助理
深圳中商院培训机构	培训主管,培训专员
中南民族大学（一本院校）	人事专员
华东工学院	商务采购部总经理（中）,暖通工程师,高级管理
加拿大维多利亚大学	财务总监,Human Resources Generalist / Recruiter / HRBP,Financial manager,财务经理
苍溪实验中学	销售客服,业务代表,业务员
桂林电子科技有限公司	C++软件工程师
中华会计自考培训中心	采购经理
巴黎一大（La Sorbonne）	客户经理
天津市建工业大	项目处经理、公司品质管理部物业经理
辽宁电大	生产主管,质量检验员,土建工程师,机动处副处长,生产工艺,项目管理,工程部经理；副总经理；技术总监；总工程师,工程监理
甘肃建筑专业技术学院	施工员,资料员,安全员
广西玉林师范学院	客服专员,软件工程师,酶应用研发工程师,市场营销  公关,硬件工程师,硬件助理工程师等相关职位.,产品销售,业务员,设备销售,Foreign trading sales & Sourcing 外贸业务，采购,行政助理
河南固始职业中专	排版设计
江苏公贸	维修电工
解放军炮兵指挥学院廊坊校区	区域主管
郑州市航空工业管理学院	运作经理(兼管理者代表)
武汉华中科技大学	IT高级经理,市场策划
天津宝坻李家深高中	采购经理,厨师长或行政总厨
JiLin University	R & D Engineer,Staff  Engineer,Analysis Technician
四川省达州市第一中学	商务助理,经理助理,不限,机械设计 工程师
汉中职业技术学院(成人函授）	模具工程师,项目工程师,模具主管
萍乡市湘东中学	营销经理 销售管理
湖南省邵阳市精英职业学校	淘宝美工
肇庆学院（原西江大学）	设计师,助理工程师,教育培训,项目管理,客服,助理、  文员,硬件测试工程师
张家口市供销中专学校	经理助理,行政,文秘
广西壮族自治区梧州学院	仓库管理员,仓管组长
贵州省建设企事业专业管理人员岗位培训班	现场管理人员,施工员
天津市机床公司技术学校	车工
广东外语外贸大学南国商学院	会计助理,审计助理,实习生,财务人员,会计,外贸,验证员,韩语教师,策划,日语
北京电影学院	导演,摄像师,产品专员,总经理助理、行政主管,经理助理,资深网页设计,摄影记者,剪辑, APP UI设计,平面设计
上海交通大学夜大	船务主管,外贸专员,单证主管
潼关安乐小学	司机
内蒙古包头市轻工职业技术学院	仓库管理员,物流,油库主管
山东省乐陵市技术学校	喷漆技师
湖南黄埔外国语学院	副总经理
北京联合大学（统招专接本）	商品专员
内江职业技术学院	施工员,教练,会计职位,电气工程师电气部主管,销售代表,冲压工,人事专员,西北和华南地区售后服务员,人事助理,行政助理
营口高等职业专科学校	北纬机电有限公司
广州现代信息工程职业学院	
Nanchang Gongchen College	品质兼设备经理,Maintenance Engineer
湖北省随州市曾都区第一中学	运输调度主管
武工业大学汉	生产副总
高中毕业就参军	老板专职司机
Guangzhou Light Industry Technical College	景观设计助理/施工图设计
上海市徐汇区业余大学	质量-可靠性
蕲春科技学校	
国立政治大学商学院智慧财产研究所	法务经理
海军后勤学院	销售主管
广西宾阳开智中学	电子维修
浙师范大学（在读）	市场总监,销售总监,销售管理
上海运输中等专科学校	副总裁、总裁、总经理、副总经理
自考  暨南大学	总部会计
江西省井冈山大学	机械设计工程师
桂林理工	机械工程师、液压工程师
英才外语学校	总经理助理,人事助理,行政专员
北京首钢高级技工技校	值班,电气技术支持,店长 店长助理,销售顾问,主管
江西农业大学软件学院	web前端开发工程师,软件测试工程师
贵阳第四职业学校	客户经理,销售员
乌克兰国立冶金大学	咨询顾问/市场策划/市场研究/营销管理/互联网
隆回九中	办公室文员,助理,数据录入员,跟单员,人力行政,审计助理、会计、会计文员、财务人员,PMC,采购
北京现代经济管理干部学院	司机兼行政
沈阳理工大学（原沈阳工业学院）	店经理
清华大学经济管理学院	市场研究,集团副总,集团培训部   总监,中国区人力资源部经理,运营管理,市场部 总监,战略规划
菏泽石油华工职业学校	主管
北京大学汇丰商学院	项目经理,华南区数据中心总监,TMT行业研究员
石家庄外国语学院	理财顾问,文员、行政人员,销售
丽水职业技术学院（浙江林校）	景观施工员,园林项目经理
Tianjin Normal University	旅游咨询顾问（主管）,Capital Budget Supervisor,外贸,资金预算主管、执行董事秘书,业务经理,Supervisor / business Manager
保险行业协会	东部片区负责人兼重案岗复勘岗
北京市师范大学	办公室主任
南京财大	
天津工业职业技术学院	主管会计,EHS经理,置业顾问,会计
长沙商学院	经理,置业顾问,高级维修技工
武汉助产学校	育婴师
劳动管理干部学院	总工程师、经理
岳阳石油化工学校	结构工程师,研发经理 
韩国东国大学校	影视制作,编剧,导演
Asia Pacific University of Technology and Innovation	软件工程师
益阳技工学校	
华北广播电影电视管理干部学院	培训师
温州医学院	网站前端开发/网站运营,网络集成,日语翻译,健康管理师；康复理疗师,视工作性质而定,销售
四川艺术职业学院	景观设计师,设计师,软装设计师,设计师助理,园林景观施工方向
上海电力	物流经理
四川省江油市太白中学	厨师
内蒙古科技大学包头师范学院	销售代表,宣传科干事,市场专员,活动主持,其他,商务助理,策划助理,办公室科员,质检员,销售顾问
保定第7中学	
汉中市新星职业技术学校	销售文员
学知堂	linux系统运维工程师
浙江黄岩模具学校	操作编程
内江警察培训学院	汽车修理员
大阪国际 大学	总经理助理
北大青鸟BENET培训	售前,项目经理
培华学院	java程序员,会计员
长春光学精密机械学院	生产经理,副总,灯具设计,Production manager,设备车间主任/主任工程师,业务经理,高级管理,研发工程师,光学高工
安徽绿海是上午学院安徽绿海商务学院	上海奥盈投资管理有限公司
津宁中专	电气主任
惠州市技工学校	硬件调试工程师
抚州广播电视大学	媒介主任
蕲春一中	SEO
长沙师范大学	区域经理
中南财经正法大学	文员,财务助理
山西电力学院	检修工,Linux系统工程师
江西上饶师范学院	品牌总监/市场总监/企划总监/,业务拓展主管/经理,研发部经理
防灾科技学院（国家地震局所属）	会计
拓殖大学	办公室文员,管理 营销 电子商务 翻译,外贸专员
北京机电学院	美术设计师,主管会计,技师
清华继续教育学院	总经理,维修工
北京大学计算中心计算机科学与技术专业本科(成教)	技术经理,音响师,门店经理,弱电,营销总监,团队管理
Tsinghua university	联想中国区渠道销售副总经理,客户服务部门,销售总监,法律顾问,General Manager
郑州测绘学校	施工员,项目经理,地图数据专员,测量员,质量检查专员,活动执行,市政工程师
云南师范大学商学院	电子商务专员,文秘,会计,项目助理,平面设计师,政府事务专员,副经理,公关专员,活动策划执行,主管
西北税务专科学校	行政经理
河北杂文创作函授学院	电工,设计
海华学院	室内设计师
北京京水旅游学校	专职司机
记林工商学院	人力实习生
鹤壁职业技术学校	机修,电工，设备管理，CAD绘图，采购助理  
泰州师范	督导
山东科技职业技术学院	客户经理,施工员,造价员,施工监理   测绘
武清职专	导购,店员
晋元高中	组长
江西农业大学 	营销客户经理-Sales Account Manager 
贵州建校、	主管施工员
三星鹏泰营销学院	Marketing Support Team Leader
哈医大	内科医生
通州市教师进修学校	模具钳工师傅
日照电视广播大学	焦煤炭矿石跟单员,业务员
哈尔滨应用职业技术	技工
北京市建筑材料工业学院	店长
麻城理工学院	生产领班
淮安军星科技学校	
TUV SUD 德国南德TUV广州分公司	品保经理，体系管理
 成人自考	医药销售经理
韩国大佛大学	
湖南澧县三中	厨师长
Inner Mongolia University of Technology	field srvie engineer,助理
重庆市工程职业技术学院	采购工程师,土建工程师,项目负责人
平舆县第一高级中学	销售代表
松隂大学	营业
澳洲新南威尔大学	销售经理 销售总监
济南机械职工大学	技术支持,产品设计开发、技术管理
北京市第十七中学（高中部）	消防主管兼二装主管
上海威迅电脑教育培训中心	咨询顾问
沈阳建筑工程学院（函授）	项目管理,土建工程师
中国人民解放军信息工程大学	软件工程师,副总经理,市场经理 酒店管理 总经理助理 销售经理 职员,办公室主任,IT经理,销售部经理，运营管理,行政副总裁,网络技术负责人,专业课辅导老师,行政总监
江门市高级技工学校	SMT技术员,模具主管设计
广州大学市政学院	外贸专员
济宁育才学院	销售代表
山东省德州市汽车摩托车专修学院	汽车服务顾问
广州市白云区115中学	销售,采购,司机
重庆建筑工程职业学院	施工员,室内设计师,工长,工程师,工程管理,预算员,甲方代表,造价员,技术负责人
长江轮船公司职工大学	销售经理
广西桂林航天工业学院	出纳，税务助理，审计助理，会计助理
新疆伊斯兰经学院	阿拉伯语翻译
北京大学（自学）	
武汉市信息传播职业技术学院	远洋捕鱼普工
马头完小	高压电工;水工
天津第二轻工业学校	CNC编程,技术部经理,研发工程师
北京艺术学院学校	助理学员,助理 交易员 操盘手 业务员,设计软装助理  销售 业务
徐州煤炭工业学校	副总经理,人事经理,主管
广西省梧州市机电机技术学校	北京新风机械厂
河南工业大学化学工业职业学院	外贸业务员，物流销售
阜阳市科技职业技术学院	财务助理,审计统计,出纳
北京科技经济管理学院	生产主管,java软件开发工程师,java开发,北京城市经理
任丘第四中学	救生员,温泉中心主管,游泳教练
北京市出租汽车公司技术学校	车间主管技术总监
约克大学舒立克（Schulich）商业学院	Product Consultant – Assistant Director
解放军防化指挥工程学院	行政总监、办公室室主任、行政经理
石家庄铁路职业技术学院	会计,项目实施,总收银,市场专员,助理翻译,安全工程师,行政、人事、售后,java开发,招标项目经理助理,技术主管
齐鲁学院	机械设计,动漫营销、MAYA建模、MAYA材质,机械制图
山东省经济管理干部学院	会计助理,会计,出纳,税务,审计,财务会计,人力资源助理
邢台市财贸学校	
葛洲坝水电工程学院	专业监理工程师
中國書畫函大北京二分校	培训经理/主管
湛江卫生学校	店员
陕西汉中城固第二中学	高级3D设计师,资深三维设计师,美术指导
河北承德腾飞中等专业学校	客服专员
德国沃尔姆斯应用科学大学	财务总监,渠道合作及发展总监,首席财务官,财务经理
俄罗斯联邦布拉戈维申斯克国立师范大学	俄语相关工作
河南理工学院	培训师/团队管理,软件测试工程师
龙川一中	快递员,技术员,家电
江西南昌航空工业学院	品质经理,产品开发工程师,土建工程师,产品经理,项目工程
石家庄和平医学院	销售,护士
山东省委党校	水电科科长,会计助理
首经贸大学	经理
埃及爱资哈尔大学	首席培训-策划师,翻译及秘书,阿拉伯语翻译,品牌研究推广部品牌总监
上海华东电脑学院	项目经理
新疆职工大学	人事行政总监兼总经理助理
西安国际商务学校	主管
东北石油大学秦皇岛分校	人事专员,网络运维,网络管理员,设计组组长,网络工程师
同济大学所属大同学院	设计师,设计主管
University of Illinois	
武汉华卓游戏学院	市场督察
武汉纺织大学（与中国环境科学研究院联合培养）	生物技术类，环境保护和科研院所
Charles Stud Uni.	产品总监
无锡人事考试网	土建工程师
劳动职业就业局中专	计划员
上海财经大学英国SQA高等教育文凭项目	金融投资理财证券
广重技术等级培训学校	厂长,主管
浙江贸易经济贸易学校	营销总监
武汉市第二职业高级中学	客户经理
西北农林科技大学（985、211高校）	系统测试工程师
西南大学	会计,施工员,设计协调、设计管理、景观设计,质量工程师,软件工程师,人力资源；用户体验,销售,管理培训生,项目经理,软件开发工程师
北京生物技术学院	客服主管
北京电力高等专科学校中专部	产品经理,编辑
湖南化工技校，湖南电大	生产计划员,生产管理相关岗位
广州市技术职业学院	客户总监
江西省宁都中学	杂货验货员,项目经理,技术支持,鞋类验货员,纺织品验货员,销售经理,硬件测试
西城经济科技大学	经理助理,部门经理
四川省南部中学	销售主任
安全生产监督局	Radio Operater/HSE安全官
法国勒曼大学	项目经理
沈阳化工大学	工程师,经理助理,策划,项目,助理工程师,自动化控制工程师,电气工程师,科研,机械工程师,材料、化工及汽车相关
上海电机技术高等专科学校	基建,领班,机构建设,安全保卫,质量主管,市场总监
广东省经济管理干部学院 	副总经理,行政总监,人力资源总监
天津河北区职大	销售经理,销售主管
景德镇陶瓷学院科技艺术学院	研发设计工程师,测试/助理PE
西安科技管理学院	机电一体化,电气工程师,PLC工程师
北京市工商行政管理学校	网站编辑,风险监控部
石家庄外国语学习（43中）	软件工程师,通路企划,市场助理,产品结构设计师,技术员,测试工程师,外贸,老师,人事专员,储备干部
上海市商业会计学校	前台接待,总账会计
武汉船舶学院	项目主管,销售代表,电气工程师,模具设计工程师,建筑设计或销售,机械助理工程师,精益生产工程师,技术总监,深圳市正瑞源净化工程有限公司,项目经理及机械设计
湖南省委党校	开发经理,会计,审计
黑龙江商业职业技术学院	财会 管理
西安航空学院（现名）	高级工程师开发部经理
湖南冶金职业技术学院	技术支持工程师,美甲学员/学徒,技术员,测试工程师,销售人员,CNC课长,高级结构项目工程师（结构主管）,安全管理员,施工员、技术员,产品运营经理
西乡中学	物流专员,快递
北京市古城中学	礼宾部司机
哈尔滨师范大学、黑龙江电视大学	财务总监
海南省民族技工学校	司机
中国传媒大学(CUC)	策略计划总监
天津渤海职业职业技术学院	CAD制图
中英理工学院	生产管理
平职学院	客服，销售
广东汕头市砺青中学	结构,研发,抄数
天津市红桥区职工大学	机械,仓库其他职位亦可,生产与维修,弱电工程师,生产助理
中国人民解放军总后勤部职业学校	助理/秘书、行政专员/助理
四川大学工商管理学院	项目主管,总经理助理,工程部经理,工程总监,人事行政总监,副总经理,总经理,Office manager
汇众益智游戏动漫学院	平面设计
英国曼切斯特大学	法务
西安理工大	产品工艺/制程工程师,硬件工程师,管理
芷江一中	可从底层做起
新闻从业资格培训	
海南文昌市中学	模具设计工程师
湖南省衡阳市工商贸易专修学院	销售部,项目部,售后部
河北工程技术大学	配饰设计师，配饰设计主管，配饰物料
华通职业 技术学校	组长
利物浦大学	市场助理,策展高级主管,生产主管,部门助理,营销策划,金融,产品助理，运营专员，管理培训生,总经理助理,人力资源助理,IT Systems Manager
新邱技工学院	车工
上海金融会计学院	会计主管
镇江实验高中	焊接工程师
黄石第四中学	装配钳工,工装夹具钳工,高级钳工
美国凯斯西储大学	分析员
湖南怀化供销技校	QE技术员或组长
江苏扬州大学明达学院	首席设计师
广州市第十中学金融职中	风险控制
北京纺织工业学校	质量控制,会计,人力资源,总经理助理
黑龙江省逊克农场中学	技工,焊工,普工
崇明县财经学校	
Ecole de Conde Lyon (法国里昂孔岱艺术学院)	商务顾问,平面设计,Marketing Specialist,Marketing Manager,法语相关工作
江苏省南京财经大学	预算责任制及价格管理
辽宁省实验中学	市场经理,信息技术总监
银川市第三中学	经理助理,策划文员,行政助理
宣武职业中专	财务经理
德惠市第一中学	银行柜员
 University of Bristol	律师助理 教育培训
河北省涿州	安全员
内蒙古大学艺术学院	原画师,设计师,角色设计,软件界面设计师,flash动画课件,影视CG部总监,fl动画,maya建模,主管
Tianjin University of Finance and Economic	经理,Branch Manager
亚洲赢家商学院	总裁 兼 CEO
Tianjin Institute of Textile Science & Technology,	Product manager,产品经理,设计师,高级项目经理,区域经理,人力行政中心总监,电信 通讯 互联网 移动互联网,业务经理,客户经理,Supervisor/Group Leader
财校	物业经理
江苏省盐城市生物工程高等学院	行政专员
北京大学经济学院	会计,证券分析师, 金融,副总裁,CTO,出纳主管
阿里学院	外贸业务,外贸销售
长沙师范高等专科学校	会计,销售,银行
大同煤炭工业学校	财务会计,财务总监、财务经理
台湾中兴大学	销售总监,营销总监,销售副总
南宁丽竹美容美发彩妆学校	质检,客服,销售
常州纺校	机械工程师,钣金工艺师
广州市一汽技工学校	项目实施员
四川西南大学	外贸经理
湖北省公安县斑竹当初及中学	司机
中铁隧道集团中等专业学校	软件测试工程师,客服工程师,项目经理,行政兼商务,技术支持,监理工程师,测试员,编辑,测量负责,施工管理
西蔓色彩发展有限公司	培训主管兼品牌营运经理
Korea Hyuspung University	管理培训生 行政 秘书 市场
辽宁大学（211院校）	研发工程师
南充卫生学校	导医,临床护士,网络咨询师
高密五中	办事处主管
东南大学无锡校区	工程师/主管
河北省涿州市华建子弟中学	店长
东营	小车司机
苏州旅游财经高等职业技术学校	客服部实习生
沈阳音乐学院附属中专	求职：策划、活动执行、培训
南京政治学院空军上海分院（自学考）	行政人事主管
江苏南京职业技术学校	cnc技术员
北京科胜培训中心	技术经理
巴黎高等管理学院	培训市场总监
华尔街英语	总经理,总裁办副主任兼法务经理、总助,日英双语即时翻译,北京高科软件开发有限公司,人事行政助理,外贸专员,策划项目助理兼翻译,人力资源专员,GM
北京市服务管理工贸技师学院	库管，叉车司机,小货司机
卡迪夫大学	金融 证券,翻译,会计
慈山财经学校	营销经理兼厦门区域经理
2008.09～2012.07    华南农业大学	生产助理
湛江市爱周职业技术学校	工程部
北大青鸟学之堂授权培训中心	销售经理,商务经理,助理
河南周口幼儿师范学校	店长助理
广西大学电气工程学院	
East China University of Science and Technology	Operation Manager,Operation Director,Purchasing Engineer,自控工程师,设计验证工程师, sourcing ,市场专员及技术支持,Merchandiser manager,Buyer,product engineer 
盐城师范学院	会计,技术员,翻译,硬件工程师,汽车行业物流供应链管理,ASIC前端设计师,办公室主任,化工原料销售,数据管理,软件工程师
Chengdu electronic mechanical College	品质工程师
山东省菏泽市经贸职工中等专业学校	生产主管,生技技师,注塑技师
苏州大学商学院	财务经理
吉林粮食高等专科学校	区域经理,会计,库房主管,技术助理，网站编辑，财务助理,班长
重庆立人职业技术学校	工程部文员,生产文员,行政文员
东京英语专门学校	主管
湖北房县第一高级中学	管理部经理，副总，总助,生产总监，经理，厂长，车间主任
北京求实高中	ORACLE DBA
广州市财经职业学校	会计,出纳,会计助理,行政人事助理,区域经理,会计文员,培训督导,行政助理、会计助理、,行政人事文员,促销督导
成都电子高等专科学校	电源研发经理，LED路灯项目研发经理
湖南省商业专科学校	销售部经理
静海四中	技术员,设备维护,代维人员
Central European University	外贸主管,外贸总监,外贸经理
湖南电子信息科技学院	java软件工程师
太原理工	实习施工员,人力资源管理,unix,数据库管理,功能纤维研发,架构师,管理
广州市成人业余大学	销售部经理,广州办事处经理,销售总监
上海交通大学　国际品牌管理大师高级研修班毕业	集团品牌总监
University of Leicester	客户经理,Marketing Supervisor,品牌主管
盐城市农业大学	区域销售经理
University of Petroleum,China	计划、调度员
431技校	落地镗工
长春市交通学校	工程技术部经理兼总工
核工业机电校	导购,市场营销
河北保定机电高级技工学校	调试工程师
成飞	分析师
四川广安中学	行政总监,人力资源经理,人力资源总监
孝感鄂北专修学校	工程
江苏南京市瓜埠中学	采购主管
加拿大温莎大学 University of Windsor	咨询师 / 策划专员
潮安县职业技术学校	销售代表,办公文员,行政后勤文员
中国人民解放军炮兵学院南京分院（上海分院）	总经理助理、行政主管
河北政法	钢铁分析师
湖南永州新田第二中学	网络推广专员,SEM优化师,SEM优化专业
德惠中等专业学校	物业 客服 仓库管理,前台接待 收银 导购 
江西省南昌市新建县新建二中	影视,机电,管理
兰州市卫生学校	区域销售.管理
张家口职业技术学校	室内设计师
常德商校	注塑主管
湖南省长沙市计算机高等专科学校	生产课长
上海电影艺术学院	市场,行政专员,设计管理,美编,项目助理/行政专员
雪枫中学	普工,.物流,作业员
河北联合大学迁安学院	酒店管理活动执行或助理
江西省冶金职业技术学院	区域销售经理,销售代表,专员,物流经理,售后服务,楼面管理,主管,大货业务,开发业务,会计，日语翻译
上海分公司	物理教师
鞍山师范学院	实习教师,英语教师,实习生,办公室文秘,java程序员,经理助理,统计员,影视后期,食品研发,品控
HeBei Univercity of Industry and Profession and Technology	高级软件测试工程师
德国 哥廷根大学	进口/关税，对外贸易部门
广州培正中学	人事专员
德国科隆州立学校	外贸
陕西工业技术学院	热处理工程师、SQE,系统管理工程师,设备维修保全员
-	主管会计,专职招聘专员,兼职招聘专员
四川警安职业学院	会计  会计助理  财务  财务助理   ,后勤主管,家具家电销售,项目执行,收银员,财务,行政人事专员,员工关系专员兼合同管理员,品质部主管,厂长助理兼统计
江苏省无锡交通高等职业学院	销售
Luohe university	生产管理
江西电力学院	生产主管,电气技术工程师,电气工程师,电气维修工程师,领队,设备工程师,软件实施工程师,行政
黑龙江建工校	项目经理
南方工业学校	生产主管,工人,软件项目工程师
重庆工程职业技术学院	施工员,会计,出纳,会计助理,测量员,职业顾问,行政文员兼档案管理,财务会计,营业员,电气技术员
美国德克萨斯大学	战略管理,情报分析
山东省青岛市黄海职业学院	机械设备维修,机械工程师,电工
宜昌枫华职校	区域经理,品牌经理,商品经理
高州市大坡中学	品质部实习生,编辑 记者
哈尔滨师范大学恒星学院	行政助理,婚礼策划师助理,经理秘书 文员,高校辅导员、报社编辑/记者、老师、行政管理方向
燕京华侨大学国际金融专业本科毕业	副总经理
Zhejiang University	研究助理,行政经理,部门主任,数据分析师,总经理   高级职业经理人   高级工程师
新宁三中	服务,客服,销售
张桥一中	电子
二轻技校	测试工程师（QA/QC工程师
山东省嘉祥县国家级重点职业中专	电气设备安装调试工
石门坎中学	维修电工,值班电工
绵阳市黎雅高级职业中学	经理助理、司机、采购,会计助理,维修工程师,企业管理顾问,人力资源总监,出纳,销售助理,旗舰店行政经理,行政总监,营销总监、副总经理
网络安全培训	项目工程师
齐齐哈尔市挚友计算机学校	日文录入员
北京市仪器仪表技工学校	
苏州大学上海分院	研究护士
江汉大学	机械工程师,淘宝美工/平面设计,java程序员,软件实施工程师,会计,程序员,销售代表,软件工程师,销售经理,媒介主管
South China University of Tropical Agriculture	HR Specialist
首都经济贸易大学成教学院	财务主管,会计,财务经理
北京远大汽车驾驶学校	英语翻译/英语教师/对外汉语教师/英语导游/人力资源管理
学田初中	厂长
黑龙江生物科技职业学院	销售助理,婚礼策划师助理   销售,实验员助理,软件工程师,android软件工程师,化验员,质检员,后期合成师,园林绿化设计公司,Android应用开发
Business college of HuNan	ERP产品专员
方城县第二高中	线长,生管,仓管
Engineering and Technical College of Chengdu University of Techology	英语教师
广州市旅游商贸职业技术学校	会计、财务助理
中央电大商务英语专业	区域经理,会计,会计主管,土建工程师,项目经理,产品经理,车间主任,Java工程师,资料员,生产厂长
北京海淀走读大学	人事行政部/人事行政经理、主管,财务经理,室内设计师,产品经理,工程师,董事长助理兼审贷委员,店长 渠道运营,销售助理,施工图组长,深化设计师
天津铁路干部管理学院	会计
北京理工大学（在读）	Java工程师,技术维护工程师,高级客服经理
洛阳师院	教师,中学,语文
渝工学校	数据采集员
香港亚洲商学院（在读）	工程部经理,IE高级工程师,总监
庆熙大学	编辑,不限,中韩翻译,人力资源管理
唐山工业职业学院	销售经理
华东理工商贸学院	
衡阳市铁路第一中学	翻译,托福教师,雅思老师
成都航空职业技术学院	景观设计方案助理,施工员,土建工程师,工程师助理,设计师,通风与暖通管理,资料员,平面设计师,店长,工程主管
日本清风情报工科学院	
河南省机电工程学院	电子技术,生产组织,维修
国家住建部	设备工程师
哥德堡大学（University of Gothenburg, Sweden）	咨询顾问/数据分析师
淋山河高中	CNC编程
北京通州第三中学	店长
上海海事职业技术学院	文案 编辑 记者,销售代表,投资顾问,货代销售,单证,市场助理,美术馆工作人员,主管,货代单证,财会文员
新加坡中華總商會企業管理學院	经理
韶关市商业学校	管理
北京理工大学继续教育学院	合同评审、资料管理,人力资源专员,修图,资质专员、证照专员,排版,培训主管,行政专员,客户经理,大客户经理,采购经理
日本 长岗大学	
内蒙古师大	与计算机有关
中江县一中	人资兼行政经理\总监
云溪区一中	施工员
禹州市二高	大区经理,区域经理,省区经理
The China Univerisity of Political Science and Law	项目经理
北京市西城区职高	电工
景德镇市昌江一中	汽车  设计  内外饰
万源市第一中学	主管助理；品质组长；生产高级组长
嫩江县第一高级中学	库房管理员
北京高级财务专修学院	系统运维工程师,系统架构,oracle运维
贵州水利水电学校	施工员（持证）,监理员（持证）
河北现代政法学院	员工
江苏邳州岔河高中	主管
北京国际经贸学院	车间主任,生产管理,室内设计师,品质课长,java软件工程师
哈尔滨工业大学	项目经理,工程师,研发工程师,设计工程师,软件工程师,俄语翻译,生产经理,副总经理,产品经理,土建工程师
南京师范大学外国语学院	教师及教务主管
四川省电子信息工业学校	总助
达内培训机构	仓管,Java高级工程师,汽车装潢中工
江门市技师学院	会计助理,会计,采购,出纳
Si Chuan University	产品工程师
济南市郊区中学	司机
大连理工大学远程教育学院	JBC
上海财经大学继续教育学院	财务助理,会计,质量部经理,采购助理，单证，行政助理,出纳
兰州石化职业技术学院	销售代表,工程资料员,资产管理,设备管理,软件工程师,C++软件开发工程师,质量管理,设备工程师,调度,销售，采购
重庆网络学院	软件实施,数据库DB
外贸学校	工程设计
meishiqi	办公室主任
西北建筑工程学院	建筑设计师,资料档案主管,副总经理及以上,合约经理,行政人事主管,工程部经理,项目总经理（副总、总助）、工程管理中心总经理,部门经理,建筑师,司机
马来西亚玛丽学院	办公室行政主管
福冈教育大学	秘书,行政后勤
东北省师范大学	页面重构,网页制作,前端制作
安徽工商学院	会计助理,审计助理,出纳
Beijing Lancuage and Culture University	翻译,对外汉语教师
山东商务职业学院	会计,会计助理,出纳,财务助理,KA业务员/理货员,运营督导, 建模师,文员,人事专员,影视动画、渲染师、特效师、动画设计师等
北京国际商务学院	销售经理,商务管理,总经理助理,软件工程师,管理职称,物业部经理,运营部经理,水电安装负责人,设计、项目,区域经理
湖南理工学院经管学院	财务文员
湘乡市第一职业中专学校	人事行政助理,售后服务,技术员
成都信息工程学院龙泉校区	销售人员
南充师范学院	办公室主任,行政人事经理,总经理助理
合肥工业大学函授班（应流职工大学）	安全保卫部副经理
鸡西市天立外国语学院	日语翻译 会计
ottawa Univeristy	Senior Solution Manager
中国管理软件学园	置业顾问
广东省岭南工商一技	建築/建材/工程，交通/運輸/物流，貿易/進出口，仓储物流主管
进贤二中	生产计划经理
首都师范大学文学院	家教,公关/媒介经理/总监
湖南省岳阳市湘阴县第四中学	制冷与空调专业
分宜职业技术学校	会计,会计文员,出纳
中国科学院生态环境研究中心	给排水设计工程师,环保工程师,项目研究员兼仪器设备管理员,水处理工程师,助理精算师
陕西眉县槐芽高中	IE技术员,软件测试,软件测试工程师,生产技术员,设备工程师,电子电器装配,软件测试员
西安技术学校	工程部
惠州华洋科技职业学校	办公室文员,文员,商务文员
桂平市浔州高中	电气、自动化仪表施工员,预算员,物资管理员
多伦多大学	高级业务分析师,基金管理 金融 财务 审计,项目经理,外贸经理/海外工程师
广东华侨中学	店长,人力资源、法务、商务,会展客户助理
威中	模具经理,模具主管,模具组长
西安现代工程学院	市场专员,策划助理,报建专员
贵州工业职业技术学院	土建施工员,施工员 ,销售员,建筑相关,检验员,监理员,安全员
清远职中	厂长
中法埃菲服装设计师学院	
布里亚特国立大学	
中山大学成人教育	销售代表
湖南财政经济学院（湖南财专）	会计,总账会计,成本会计
莫斯科普希金语言学院	商学院院长、副院长,培训总监,总裁/副总裁
浏阳三中	
杭州人才开发专修学校	行政司机
上海交大荷兰商学院	浙江区域常务副总经理/上海大区副总经理,行业拓展经理,销售代表,公关总监,人力资源经理及行政总监,记者,体育老师,助理,人力资源经理/,分销代表
武汉国防信息学院	综合柜员
江苏省广播电视大学	网络交易员,酒店管理 餐饮管理  总经理 总监级 ,文员,劳资专员,人事高级专员,财务主管,网络管理员/硬件维护工程师,财务经理,主办会计,秘书
印刷学院	 
胡桥轻工技术技校	技工
北京经济管理干部学院（原河北远东职业技术学院）	大客户经理,销售经理,销售总监
湖南师范大学法学院	生产经理
北京大学零售总裁EMBA	副总经理,企划总监
河南省绿业电脑学校	技术员
财经日语大学	Sales Manager
北京市崇文区第一百零九中学	销售部经理
烟台汽车工程职业学院	金融储备干部,汽车零件销售,一线员工,销售顾问,汽车销售
济南大学泉城学院	管理类工作,机械设计工程师,理财规划岗位
安陆二中	厂长,人事专员
水晶石	后期,渲染,模型
张家口建星技校	电气主任
石柱下路学校	生产厂长
六盘水职业技术学院	实习护士
GUANGDONG UNIVERSITY OF FOREIGN STUDIES SOUTH CHINA BUSINESS COLLEGE	财务
上海达内	电气工程师
南充市南部县第四中学	业务主管,销售经理,销售主管
燕山大些里仁学院	暖通制冷,暖通设计,暖通预算
甪直中学	高低压值班维修
成都电讯工程学院	射频主任工程师
山东生商业职业技术学院	php程序员
天机理工大学中环信息学院	销售员
